codigo,nome,descricao_longa,numero_de_pecas,valor
025.28.060,PARAF DIN933 M16X6,PARAFUSO DIN 833 M16 X 60 R.T 3.2 AM TRIV.,1000,R$ 4.0316
025.42.005,PARAF DIN7991 M6X1,PARAFUSO DIN 7991 M6 X 16 NORMA DE CONSTRUÇÃO: DIN 7991 (ISO 10642) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,3000,0.2130
025.43.406-4,PARAF DIN965 M2X6,PARAFUSO DIN 965 M2 X 6 NORMA DE CONSTRUÇÃO: DIN 965 (ISO 7046) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 5.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,3000,0.0940
025.46.012,PARAF DIN7991 M4X1,PARAFUSO DIN 7991 M4 X 10 NORMA DE CONSTRUÇÃO: DIN 7991 (ISO 10642) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: A2-70 MATERIAL: AÇO INOX PROPRIEDADES MECÂNICAS CONFORME DIN 267-11 (ISO 3506-1) TRATAMENTO: PASSIVADO DEVE SER ROHS / MUST BE ROHS,10000,0.1058
025.56.541,PARAF ISO7380 M3X6,PARAFUSO ISO 7380 M3 X 6 NORMA DE CONSTRUÇÃO: ISO 7380 NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: A2-70 MATERIAL: AÇO INOX PROPRIEDADES MECÂNICAS CONFORME DIN 267-11 (ISO 3506-1) TRATAMENTO: PASSIVADO DEVE SER ROHS / MUST BE ROHS,60000,0.2700
030.31.004-7,ARRUELA DIN125 M6,ARRUELA LISA DIN 125 M6 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,22000,0.0496
030.31.003-9,ARRUELA DIN125 M5,ARRUELA LISA DIN 125 M5 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,16000,0.0307
030.31.039,ARRUELA DIN9021 M4,ARRUELA LISA DIN 9021 M4 NORMA DE CONSTRUÇÃO: DIN 9021 (ISO 7093) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,22000,0.0482
030.30.006-8,ARRUELA DIN127 M8,ARRUELA DE PRESSÃO DIN 127 M8 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,10000,0.0940
030.30.018-1,ARRUELA DIN127 M2,ARRUELA DE PRESSÃO DIN 127 M2 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,8000,0.1000
030.31.005-5,ARRUELA DIN125 M8,ARRUELA LISA DIN 125 M8 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,5000,0.0842
030.31.006-3,ARRUELA DIN125 M12,ARRUELA LISA DIN 125 M12 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,8000,0.2043
030.31.026-8,ARRUELA DIN125 M10,ARRUELA LISA DIN 125 M10 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO BRANCO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,1500,0.1449
030.31.002-0,ARRUELA DIN125 M4,ARRUELA LISA DIN 125 M4 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,60000,0.0292
030.30.003-3,ARRUELA DIN127 M5,ARRUELA DE PRESSÃO DIN 127 M5 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,60000,0.0319
030.31.004-7,ARRUELA DIN125 M6,ARRUELA LISA DIN 125 M6 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,22000,0.0496
030.31.003-9,ARRUELA DIN9021 M4,ARRUELA LISA DIN 9021 M4 NORMA DE CONSTRUÇÃO: DIN 9021 (ISO 7093) MATERIAL: AÇO BAIXO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,22000,0.0482
025.61.693,PF PLASTIC PAN 2.2,PARAFUSO AUTOPLASTIC CABEÇA PANELA 2.2 X 8 MM ZINCADO PRETO,120000,0.06470
025.05.850,PARAF DIN916 M6X40,PARAFUSO DIN 916 M6 X 40 NORMA DE CONSTRUÇÃO: DIN 916 (ISO 4029) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 14.9 MATERIAL: AÇO CARBONO TRATAMENTO: OXIDAÇÃO TÉRMICA E OLEADO DEVE SER ROHS / MUST BE ROHS,10000,0.4452
025.24.007-3,M6X10 CCSI,PARAFUSO DIN 912 M6 X 10 Z. AM. TRIV.,10000,0.2142
025.24.012-0,M4X20 CCSI,PARAFUSO DIN 912 M4 X 20 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,10000,0.2234
025.24.051-0,M5X20 CCSI,PARAFUSO DIN 912 M5 X 20 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,15000,0.2230
025.28.060,PARAF DIN933 M16X6,PARAFUSO DIN 933 M16 X 60 R. T Z. AM. TRIV. CL. 8.8,1000,4.0316
025.42.005,PARAF DIN7991 M6X1,PARAFUSO DIN 7991 M6 X 16 NORMA DE CONSTRUÇÃO: DIN 7991 (ISO 10642) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,3000,0.2330
025.43.406-4,PARAF DIN965 M2X6,PARAFUSO DIN 965 M2 X 6 NORMA DE CONSTRUÇÃO: DIN 965 (ISO 7046) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 5.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,3000,0.0940
025.46.012,PARAF DIN7991 M4X1,PARAFUSO DIN 7991 M4 X 10 NORMA DE CONSTRUÇÃO: DIN 7991 (ISO 10642) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: A2-70 MATERIAL: AÇO INOX PROPRIEDADES MECÂNICAS CONFORME DIN 267-11 (ISO 3506-1) TRATAMENTO: PASSIVADO DEVE SER ROHS / MUST BE ROHS,10000,0.1058
025.56.541,PARAF ISO7380 M3X6,PARAFUSO ISO 7380 M3 X 6 NORMA DE CONSTRUÇÃO: ISO 7380 NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: A2-70 MATERIAL: AÇO INOX PROPRIEDADES MECÂNICAS CONFORME DIN 267-11 (ISO 3506-1) TRATAMENTO: PASSIVADO DEVE SER ROHS / MUST BE ROHS,60000,0.2708
025.24.076-6,M3X8 CCSI,PARAFUSO DIN 912 M3 X 8 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,15000,0.1970
025.28.043-1,PARAF DIN933 M20X8,PARAFUSO DIN 933 M20 X 80 NORMA DE CONSTRUÇÃO: DIN 933 (ISO 4017) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 8.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,3000,8.1377
025.42.000,PARAF DIN7991 M6X10,PARAFUSO DIN 7991 M6 X 10 Z. AMA. TRIV.,5000,0.1869
025.05.852,PARAF DIN916 M10X40,PARAFUSO DIN 916 M10 X 40 NORMA DE CONSTRUÇÃO: DIN 916 (ISO 4029) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 14.9 MATERIAL: AÇO CARBONO TRATAMENTO: OXIDAÇÃO TÉRMICA E OLEADO DEVE SER ROHS / MUST BE ROHS,5000,1.0937
025.24.533-4,M4X8 CCSI,PARAFUSO DIN 912 M4 X 8 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.1590
025.24.533-4,M4X8 CCSI,PARAFUSO DIN 912 M4 X 8 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.1590
025.26.008-2,PARAF DIN7985 M2.5X6,PARAFUSO DIN 7985 M2.5 X 6 NORMA DE CONSTRUÇÃO: DIN 7985 (ISO 7045) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 5.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.0277
025.26.049-0,PARAF DIN7985 M4X16,PARAFUSO DIN 7985 M4 X 16 NORMA DE CONSTRUÇÃO: DIN 7985 (ISO 7045) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 5.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: OXIDAÇÃO TÉRMICA E OLEADO DEVE SER ROHS / MUST BE ROHS,0,0.0832
025.61.675,PINO COBR. M4X15,STRAIGHT TYPE PIN - MILD STEEL M4X15,0,0.3070
025.61.688,FAM_PINO_CAPACITIV M3X6,PINO CAPACITIVO SEM FLANGE COBREADO M3X6,0,0.3520
025.24.101-0,M5X35 CCSI,PARAFUSO DIN 912 M5 X 35 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.3030
025.24.024-3,M8X35 CCSI,PARAFUSO DIN 912 M8 X 35 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.6325
025.26.045-7,PARAF DIN7985 M3X16,PARAFUSO DIN 7985 M3 X 16 NORMA DE CONSTRUÇÃO: DIN 7985 (ISO 7045) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 5.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.0524
025.26.129,PARAF DIN7985 M3X4,PARAFUSO DIN 7985 M3 X 4 (INOX),0,0.4640
025.43.734,PARAF DIN965 M2,5X8 PARAFUSO DIN 965 M2.5 X 8,0,0.0694
025.61.634-0,PF PLASTIC FL 2,5X10 PARAFUSO AUTOPLASTIC CABEÇA FLANGEADA Ø2.5 X 10 mm TRATAMENTO: ZINCADO BRANCO TRIVALENTE DIMENSIONAL CONFORME DESENHO DEVE SER ROHS / MUST BE ROHS,0,0.0507
030.31.005-5,ARRUELA DIN125 M8,ARRUELA LISA DIN 125 M8 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.2043
030.31.006-3,ARRUELA DIN125 M12,ARRUELA LISA DIN 125 M12 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.090
